Straight search 0.01640    Binary search 0.01110
Straight search 0.00530    Binary search 0.00310
Straight search 0.06720    Binary search 0.04830
Straight search 0.02630    Binary search 0.00230
Straight search 0.00580    Binary search 0.00110
Straight search 0.02710    Binary search 0.00150
Straight search 0.01440    Binary search 0.00100
Straight search 0.00390    Binary search 0.01650
Straight search 0.00380    Binary search 0.00180
Straight search 0.01200    Binary search 0.00090
Straight search 0.00360    Binary search 0.00070
Straight search 0.01100    Binary search 0.00110
Straight search 0.00220    Binary search 0.00140
Straight search 0.01100    Binary search 0.00080
Straight search 0.00580    Binary search 0.00080
Straight search 0.00220    Binary search 0.00070
Straight search 0.00990    Binary search 0.00180
Straight search 0.00700    Binary search 0.00070
